Iteration,KL_Model_allpath,HD_Model_allpath,JSD_Model_allpath
1,0.8063349835660594,0.7497161781751354,0.15447871073900493
2,0.6182501279560813,0.6406521493753925,0.10814000769427748
3,0.5990683627049238,0.6087914266470795,0.10306594883576081
4,1.1079868762615315,0.8448507642331146,0.20746672472784114
5,0.5079448822068003,0.5859289698298299,0.09209625743181028
6,0.597387830354092,0.6360970066045408,0.11017670148890758
7,0.8961626251513529,0.7811181228245145,0.16759900433613453
8,0.6054876163973396,0.6169770163507994,0.10248884387353954
9,0.7541173571544547,0.7118201419160628,0.1392483286432677
10,0.5171314446565136,0.5957449681154141,0.09376089445045817
11,0.8653034128454722,0.7450696873545142,0.15822766659652804
12,1.1749696675348307,0.8535802783339728,0.21353490285598933
13,0.7196325372169178,0.6923910503725162,0.12557273755819068
14,0.4109527026456359,0.5431558371138715,0.07698484982650311
15,1.0498389454249129,0.8346578134047915,0.19706878045253354
16,0.5539662670761061,0.6013263573669102,0.09724095190656062
17,0.7109075064047273,0.6428680518076699,0.11739968585369968
18,1.1061832547294952,0.6916567496561434,0.13716204868410564
19,0.7156811167019529,0.6865317087140947,0.12894667592651296
20,0.5111105217047228,0.5881958792024203,0.08959909137160917
