Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,0.47226265173640564,0.4704119771128249,0.5549143807425105,0.4700731590661743,0.08750035301761404,0.08751373280010782
2,0.4712881907079484,1.8657927094133213,0.5579088946834596,0.5908559385247101,0.08522234869578302,0.11103678038082138
3,0.4559528930484631,1.2499234657127318,0.5476495384961966,0.5786316372084911,0.08306297246873964,0.11350402053251256
4,0.4974047435630686,1.3283352189941202,0.6088148536563026,0.4389020552138295,0.09754017922091993,0.08978016822903231
5,0.8744311345828848,3.286134643200099,0.7675144316930193,0.671711482913129,0.1674921444851771,0.1397020297131302
6,0.45239032366050524,1.1881539057224455,0.5477861616722078,0.500251825553511,0.08539920286663427,0.10387331587692265
7,0.4911210641425016,0.4063816184206878,0.561701482980318,0.5268230961944859,0.0942841084975913,0.09101010141153823
8,0.5632580041723737,1.0062955564015539,0.6151877972078394,0.48263621794132655,0.10112106774147321,0.10237027894814235
9,0.5198601330479493,2.5403728948000968,0.5873994642119933,0.5389821556349016,0.08980414022890802,0.10953777273305496
10,1.1930450926958445,1.8563818664693563,0.8473463654758738,0.6042986488990635,0.21887923241029358,0.11999295272383656
11,0.4673089306270856,1.6522149624666964,0.5713742334445231,0.519830672778729,0.08523896421656557,0.10387796565693673
12,0.5579685524678571,1.1368028641072203,0.6481750787142347,0.5016343661105187,0.11367723894997613,0.09595733051066395
13,0.5152958497428506,0.4687107223881602,0.6003051350061277,0.4286618368440978,0.09665994904448957,0.0792297645445101
14,0.5973742530266484,1.9853993033730852,0.6394922345458383,0.5981006774161152,0.1103869407210667,0.11741614736321532
15,0.7044797791984627,2.053526214746017,0.7072861000607331,0.597588658380185,0.13496116458919094,0.12954966454654568
16,0.6242494930700783,0.9243798223542219,0.6114254191602878,0.6184135072259819,0.10316510795808456,0.11025235980073046
17,0.3879419114793168,0.971083745422202,0.5017560493893578,0.5328361143111927,0.07759515009637082,0.10347802997807982
18,0.613118397321521,1.0646734340926345,0.6667745103079022,0.4986402938125325,0.12184001363487292,0.0974092826699625
19,0.9503598903337255,1.4733300319557097,0.7915463852993415,0.5549894519657574,0.18335160288802438,0.10840962100549008
20,0.48344091835655434,1.0012164019721173,0.5829555549585526,0.4716204206354491,0.0904787044964228,0.09678632203423694
