Iteration,KL_提案手法,HD_提案手法,JSD_提案手法,KL_比較手法,HD_比較手法,JSD_比較手法
1,2.1272134562480165,1.4509461697147952,0.5412556048191529,0.7956294967434296,0.45058582336692393,0.06743226604253343
2,1.7634835643454865,1.3158549799956858,0.4541339430074778,1.937964417480003,0.6057293968937733,0.1060840965876976
3,1.9645949838961838,1.3417133723167585,0.4896802984915677,2.9271336449630545,0.6514073062292406,0.11031537102095484
4,2.1045918929712863,1.408426898814668,0.5256584456149709,3.19727399783424,0.6535335075160394,0.12014870189459484
5,1.8047587794784261,1.3515173154652174,0.4700116682257898,2.2769091616435824,0.5203549463898033,0.07920299203799507
1,1.90507840919622,1.398308939449531,0.4993256787405368,2.6211082899542015,0.6461849054971142,0.12643768429967073
2,1.7352137480520866,1.320446988144097,0.4524915462409952,3.5824144419834685,0.7650805249598068,0.1584495615967295
3,1.9660248362526451,1.4320586581890082,0.5178614931606821,1.0519534775267463,0.5086914098465156,0.08664090827790592
