Iteration,KL_Model_allpath_same_n,HD_Model_allpath_same_n,JSD_Model_allpath_same_n
1,0.9911107456601906,0.7919745716789344,0.18213524827319943
2,0.653479076857007,0.6471754467422748,0.11319416246631116
3,1.2003511604479684,0.8487629720564934,0.2183063298936602
4,0.822091472033764,0.7131412220806039,0.1359315269359544
5,2.5808112743263325,1.0181786889038322,0.3142301513569555
6,1.7188030632355655,0.9125519365494766,0.26497699865281155
7,2.2080052347439927,0.9888599799958518,0.29950383438647066
8,2.1017323536437686,0.9653631160430493,0.28953303424140586
9,1.182720334193324,0.8122744367099505,0.21562961603746386
10,2.450326347622757,1.0527681808395921,0.3232723471136677
11,2.9287556204529785,0.9996536206086292,0.32497999934458516
12,1.1881599678050099,0.8293387032653764,0.21289576535243315
13,0.7645872237117265,0.6776862634486348,0.12568484517897924
14,0.8089886210638711,0.7395513824779012,0.1496289358016478
15,2.4516964089554483,0.9563943058087533,0.2882133993611434
16,0.7377614075133709,0.6440211426858896,0.11862460939494332
17,2.0814131866604586,1.0193917512065844,0.3042264163758549
18,1.4769224759985191,0.8640555286007503,0.2692437622703727
19,0.6099665159020371,0.646342645296163,0.11797593085103776
20,0.5614198902543444,0.5825140230050478,0.10087283051725472
