Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,1.1450868224918855,1.710378689913078,0.6126549585632601,0.5174342575855033,0.14295129394845907,0.10677717304827244
2,1.367104069842052,0.6208546227241141,0.6534086687848878,0.3599000600654745,0.14766314415273826,0.0787057910359202
3,1.940429428057895,1.184409032768343,0.8006014112381342,0.42664391386858797,0.19313908100634514,0.09076947767629095
4,1.1164636768849496,0.7314403139397567,0.565835235391189,0.44308610335086296,0.1343361769211165,0.09005889747552728
5,2.136891480994267,1.7506228115173221,0.8717423678725282,0.6058294222194588,0.2294315241397948,0.12806993447202777
6,2.8017628527426797,1.4989489319685245,1.0636702181819258,0.5591350565791336,0.33654534464613267,0.11425264585962211
7,1.3260374163648219,1.6133484920406798,0.649425622609714,0.5238489945623069,0.15296658139469188,0.10423171853901735
8,1.7606803262716313,1.5674547710374545,0.7576122099395636,0.5429997819561319,0.19078389435840862,0.11385586968187049
9,1.7092833146377318,0.8499657913063104,0.7887305117217523,0.5114802390834949,0.19087513402779144,0.09798692197453636
10,1.6182182737135893,1.1439963457079365,0.7038926822820577,0.4398548849524419,0.16266673537405393,0.09185944938612765
11,1.6854475699249183,0.6430958718911554,0.7018175833132283,0.501761249060878,0.167170527182941,0.09247343191286336
12,1.4828605231592313,1.2247259735841236,0.6486895820285984,0.515179045772533,0.15522118834907236,0.11007291795003385
13,1.5650238205509326,1.6903129198395543,0.7296600482408249,0.5374869355971373,0.17173670387144338,0.10072168896230704
14,1.7731543418060753,1.7156931508088467,0.7408596952049504,0.48886814630451114,0.17651268811499135,0.09768597191465991
15,1.7130051526547427,1.2259009870826312,0.7144713293845735,0.49752591676161306,0.17079196670698726,0.09883726162867085
16,1.1112916248829592,1.7152383362281112,0.5915089085293812,0.5049762949125233,0.13386436153178194,0.09781146249430941
17,1.3877737009993716,0.8349023719059248,0.6458107934672885,0.48347912246306907,0.15200967146077832,0.09430804881686984
18,1.4862270395010035,1.6681280914528567,0.7870869541695684,0.604891007687348,0.19785399742670115,0.1140930675026938
19,1.4293278014850292,2.1063891927405454,0.6617644593895435,0.531031929290757,0.15768478750835688,0.10976854131454429
20,1.2450005653272642,0.8708677936845306,0.6279677116978002,0.505272775228893,0.14579116561887914,0.10390335920831892
