Iteration,提案モデル,比較モデル,提案モデル,比較モデル,提案モデル,比較モデル,提案モデル(Pathあり),提案モデル(Pathあり),提案モデル(Pathあり),"提案モデル(Pathあり, データ3倍)","提案モデル(Pathあり, データ3倍)","提案モデル(Pathあり, データ3倍)",,,100（学習データ80）,提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),,,50（学習データ40）,提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),,,,学習データ数100,学習データ数100,学習データ数100,学習データ数200,学習データ数200,学習データ数200,学習データ数400,学習データ数400,学習データ数400
11,2.139417747,8.121902397,0.832342713,0.78709848,0.19916883,0.189907553,2.92875562,0.999653621,0.324979999,0.465283244,0.57377407,0.086553033,,,,1.68544757,0.643095872,0.467308931,1.023311486,0.701817583,0.501761249,0.571374233,0.692826193,0.167170527,0.092473432,0.085238964,0.13503274,,,,3.04495201,3.65616506,0.499441796,0.543208583,1.08185527,0.59939904,0.5852349,0.588981817,0.35123168,0.1332267,0.090438229,0.097582788,,,,1.032040869,0.56041634,0.125399332,3.04495201,1.08185527,0.35123168,1.68544757,0.701817583,0.167170527
12,1.978929152,9.906101136,0.79010237,0.936566997,0.184863897,0.238920456,1.188159968,0.829338703,0.212895765,1.428332928,0.863835082,0.239537399,,,,1.482860523,1.224725974,0.557968552,0.539979761,0.648689582,0.515179046,0.648175079,0.59320449,0.155221188,0.110072918,0.113677239,0.094592478,,,,1.41657201,1.93349287,0.792042312,0.623065116,0.65908748,0.5868774,0.744014379,0.639015416,0.15653409,0.12299163,0.153303199,0.109913023,,,,1.084593119,0.5656,0.134731394,1.41657201,0.65908748,0.15653409,1.482860523,0.648689582,0.155221188
13,2.351158744,6.062126967,0.966462229,0.879276588,0.300186481,0.195540678,0.764587224,0.677686263,0.125684845,0.822793063,0.766960718,0.165462056,,,,1.565023821,1.69031292,0.51529585,0.54660012,0.729660048,0.537486936,0.600305135,0.596864786,0.171736704,0.100721689,0.096659949,0.094665229,,,,1.42440881,3.13681115,1.477325262,0.634255126,0.69755897,0.67956317,0.933708481,0.639962873,0.16459496,0.13635265,0.257333749,0.124185206,,,,3.420398641,1.127355379,0.37236894,1.42440881,0.69755897,0.16459496,1.565023821,0.729660048,0.171736704
14,3.245361918,6.057575301,1.087490345,0.865418494,0.362388916,0.191997223,0.808988621,0.739551382,0.149628936,0.56512324,0.636213875,0.10574895,,,,1.773154342,1.715693151,0.597374253,0.547683153,0.740859695,0.488868146,0.639492235,0.606306748,0.176512688,0.097685972,0.110386941,0.097659719,,,,1.08178926,3.09050893,0.776435496,0.513491721,0.62617404,0.72827684,0.725404031,0.570220052,0.14055903,0.15148967,0.143754708,0.089724739,,,,1.170396354,0.646952383,0.149160721,1.08178926,0.62617404,0.14055903,1.773154342,0.740859695,0.176512688
15,1.486710941,3.532976283,0.776347017,0.799150194,0.194730737,0.171887349,2.451696409,0.956394306,0.288213399,0.535086403,0.626337596,0.1030596,,,,1.713005153,1.225900987,0.704479779,0.458033738,0.714471329,0.497525917,0.7072861,0.518820821,0.170791967,0.098837262,0.134961165,0.087980782,,,,1.41056833,1.63204887,1.502148487,1.006388787,0.67247466,0.53231601,0.922695043,0.692324171,0.15386324,0.10426372,0.257564605,0.13621957,,,,2.464005145,0.984502554,0.306260215,1.41056833,0.67247466,0.15386324,1.713005153,0.714471329,0.170791967
16,2.931775963,7.207226688,1.053643664,0.932348075,0.350848752,0.214525018,0.737761408,0.644021143,0.118624609,0.570163124,0.626916644,0.105301421,,,,1.111291625,1.715238336,0.624249493,0.49433262,0.591508909,0.504976295,0.611425419,0.542271603,0.133864362,0.097811462,0.103165108,0.09130589,,,,1.87427266,2.45886395,0.807386225,0.618156297,0.75982501,0.63732548,0.709394874,0.597594119,0.18889301,0.12773219,0.157969122,0.108720917,,,,1.230285919,0.640986194,0.146862911,1.87427266,0.75982501,0.18889301,1.111291625,0.591508909,0.133864362
17,2.494244892,4.780453436,1.006278759,0.713200045,0.310625186,0.158587185,2.081413187,1.019391751,0.304226416,0.698520166,0.700970188,0.134313715,,,,1.387773701,0.834902372,0.387941911,0.524950318,0.645810793,0.483479122,0.501756049,0.567400599,0.152009671,0.094308049,0.07759515,0.088767454,,,,1.07790016,1.6818683,0.693423322,1.14980788,0.6748103,0.48428344,0.66239949,0.759581307,0.14913116,0.11182214,0.125638251,0.156289054,,,,2.244712281,0.972993124,0.294435454,1.07790016,0.6748103,0.14913116,1.387773701,0.645810793,0.152009671
18,1.768005173,7.379697317,0.738273509,0.874664794,0.173150001,0.207780063,1.476922476,0.864055529,0.269243762,0.448113512,0.557626635,0.082712915,,,,1.48622704,1.668128091,0.613118397,0.500198104,0.787086954,0.604891008,0.66677451,0.578162313,0.197853997,0.114093068,0.121840014,0.089575874,,,,0.95890924,1.75003558,2.286145459,0.662699992,0.57628658,0.48273141,0.977394926,0.698389372,0.12496883,0.09844197,0.291617622,0.130004389,,,,0.766536631,0.564447552,0.113824121,0.95890924,0.57628658,0.12496883,1.48622704,0.787086954,0.197853997
19,2.507906727,6.216585653,0.917664906,0.788147786,0.258725727,0.178728664,0.609966516,0.646342645,0.117975931,1.926556129,0.933383441,0.277489111,,,,1.429327801,2.106389193,0.95035989,0.57692746,0.661764459,0.531031929,0.791546385,0.611720082,0.157684788,0.109768541,0.183351603,0.098544829,,,,1.30590003,4.29662747,2.520729476,0.98674531,0.69049976,0.60333167,0.990175943,0.679559854,0.15391651,0.14910493,0.299282052,0.13192225,,,,1.914041126,0.825406002,0.201536912,1.30590003,0.69049976,0.15391651,1.429327801,0.661764459,0.157684788
20,1.582754909,8.930092755,0.709685526,0.734570956,0.161010035,0.186174765,0.56141989,0.582514023,0.100872831,1.469959054,0.910628502,0.251537622,,,,1.245000565,0.870867794,0.483440918,0.576141481,0.627967712,0.505272775,0.582955555,0.627268749,0.145791166,0.103903359,0.090478704,0.104248593,,,,1.91871583,2.36918214,1.49320267,0.536626069,0.83975864,0.58471086,0.87728605,0.591819274,0.22402373,0.12644183,0.253517712,0.091159735,,,,1.364482598,0.742530855,0.172131506,1.91871583,0.83975864,0.22402373,1.245000565,0.627967712,0.145791166
