Iteration,KL_提案手法,HD_提案手法,JSD_提案手法,KL_比較手法,HD_比較手法,JSD_比較手法
1,3.1082227745829947,2.3430292083024784,0.6437372162013818,55.60192606983689,3.5940517724555066,1.3136564566454874
2,2.6706584171654866,1.922921060035953,0.4795022795971054,50.86067456709118,3.515411972791142,1.2892227852033047
3,3.8618326053333005,2.4356719897097316,0.7282087901672376,53.42060852731931,3.6003255033166055,1.333778732744068
4,1.5599841057595634,1.6604216527598221,0.3517835409636301,58.73689607883938,3.785494375553534,1.4450304815796629
5,2.2267070967269094,1.8856629993197958,0.4498490030750277,56.34613302244585,3.6127486884035167,1.3725303222201115
1,3.9659066530825164,2.318369062775783,0.6570986728083035,54.692970237905605,3.4544066662226496,1.2494442480101486
2,4.840799579459363,2.383554501726044,0.7118336751859838,57.88910022876833,3.508969085144488,1.3097419161023993
3,3.6777288392249514,2.0775189333538973,0.5259883708913218,61.411775996101426,3.65890886751672,1.366046796584708
4,5.068798067322641,2.427927193087983,0.7598555653517255,63.99441506816286,3.949823880448334,1.5404801864585345
5,2.1844100616108633,1.7394913101803657,0.4198815678659988,47.80297737785235,3.3427140708544054,1.1729140086348477
1,3.1813666026314644,2.0160225181891764,0.5134648676084099,56.661611932968995,3.6035304113924957,1.3520320237881098
2,2.797363872399214,1.8615536618648432,0.4429214022733758,54.404796054958474,3.590115490092432,1.3574257073834346
3,4.113723590673266,2.3749336514377983,0.6782284116701376,54.27615846934626,3.6901419310270747,1.3696516820394635
4,3.143119190647744,2.2371248807765474,0.6134526793584117,57.308484179257114,3.510885319963549,1.2589483076343926
5,4.8664314735020495,2.2121641119687334,0.6128858652660559,58.126607983270134,3.672993321263225,1.4043035837180493
1,4.542612087481218,2.277253683463407,0.7165591309780144,68.43163629173898,3.89890102210473,1.5060197258242436
2,4.8618209570394555,2.4949294831435203,0.796990057791005,79.70919600176707,4.330607637703454,1.8107953825261516
3,5.568726991137923,2.7796577561333096,0.9534979183740904,78.91222264662971,4.140229618494276,1.6978620711021843
4,4.149242743228096,2.3250164625096557,0.7021613507062268,74.5606737377105,4.056526774070831,1.6150317814693889
5,4.893632031960419,2.516885915952589,0.7790507829666573,76.38632600309357,3.9923935826586936,1.6098855310012048
1,2.376748181530539,1.8344206787736304,0.4565719684658755,57.84580112577848,3.5814058314053416,1.3153305962575195
2,2.5883110246733967,1.778767955162464,0.4044982894948262,60.83495916018323,3.653076024918751,1.3696282735397065
3,3.1944462055391325,2.0065813136243964,0.4858705609166324,61.919831503758175,3.599520437853798,1.2997057156583354
4,1.8702884238034692,1.5841288616092644,0.34884385122081846,57.16567184018298,3.662531698306519,1.355605845970347
5,2.750351310848626,2.027089117781466,0.5097559428296792,65.117822101861,3.908233343119415,1.4992794367251139
