Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,1.705305404559245,0.8560630491685294,0.7191823215535217,0.5112971552499143,0.16890656968522702,0.10631577676043184
2,1.2486670418731738,1.2533037092991375,0.6764085791982708,0.4188870497285069,0.15466879128221026,0.08924792933878006
3,1.715731123147905,1.3781941906590038,0.7231186866179055,0.4718699147900358,0.16494119178630162,0.10193715216919128
4,1.3146904135826822,0.7841061216990864,0.6389733071350899,0.49793244955064025,0.14755854408505328,0.0939466306403204
5,1.535581997732616,1.4100942101274454,0.6985452364189342,0.56209918651938,0.16669387810105443,0.10291153511936708
6,1.80150773167468,1.6393890204318997,0.7315984469815893,0.5751870685393604,0.17435180513562623,0.10331349686687029
7,1.3808251695694234,0.7194588045061757,0.6401094994126332,0.47839859573052723,0.14999573107253192,0.09593153340084126
8,1.7105463710439912,0.6567486649515373,0.7362125197122279,0.41915511012656714,0.17178587052496772,0.08241538223337042
9,1.0142587202706765,1.5737833144878661,0.5881940387803609,0.53854945001802,0.13016872658848364,0.10606635614600558
10,1.6969808234788502,1.1015902569239597,0.8286716424212129,0.44527356766615206,0.20816922864759582,0.09634273741873868
11,1.3027157401471523,1.2672036469365306,0.660232204605962,0.6135959941082297,0.15615399106288244,0.11267012256627348
12,1.2024123644555131,1.4428937425086688,0.6542703225885492,0.4849068874923714,0.14781434825208717,0.09312423937826711
13,1.2976213516447341,1.1178207898298544,0.6463144838279546,0.45050968352827697,0.14850728596316798,0.09183786920094042
14,1.4398176106927074,1.4441545380220122,0.7003530532665243,0.5512208571520512,0.1601424566355325,0.11486587229291173
15,1.2033164149309643,1.1109124169678455,0.658198128818796,0.6098288039418935,0.1518912783023778,0.11373737409856964
16,1.890735122391392,0.511930173979147,0.8066784893238725,0.488289666799955,0.20414342498065025,0.08916481359620237
17,1.2054358669363594,1.017265050923998,0.6336141514178454,0.49512685649798194,0.14252669644196309,0.0968627640023032
18,1.6973619804611793,1.1583022991464864,0.6932325424080796,0.4831580006645109,0.1652471401452078,0.09609240112953786
19,1.4152597831710436,0.6962396798846323,0.6549951623969192,0.4663598279247864,0.15361502252923276,0.0852457308351273
20,2.002579243608677,1.8030667070613222,0.8318078942622651,0.46376918116235516,0.20364165841708948,0.09719095848938986
