Iteration,KL_Model_allpath,HD_Model_allpath,JSD_Model_allpath
1,0.5842474829986067,0.6192722384893444,0.10281645121301744
2,0.5451682879319075,0.5851347605628021,0.09177732075784276
3,1.2464563509355238,0.763814528138923,0.15554200245003622
4,0.5666108866079883,0.6116712021470507,0.09743562096392709
5,0.5883298214429094,0.6230458663760532,0.10367153428017362
6,0.5681055972523857,0.5892209868481768,0.10115014511023511
7,0.5279208844891206,0.584933339316326,0.0903767162955488
8,0.6700635825311863,0.6610800663293255,0.1157822945924411
9,0.6153053227827125,0.6125831357897319,0.10486827539213713
10,0.5991224596084681,0.6176065156858712,0.09842845811889023
11,0.5574704373744317,0.6221885060706607,0.10321044048170586
12,0.5508165701671189,0.6161941278761541,0.09702514307101842
13,0.48287461452148756,0.5937594260666134,0.09024050763587495
14,0.5508037251066746,0.5959676236950248,0.09360458892911692
15,0.5551628178442594,0.598514630370726,0.0951197929419852
16,0.6510950468397153,0.6474430696763925,0.11092150988276132
17,0.606303813941305,0.6372751669801218,0.11439803193405929
18,0.360453687881889,0.4969313369578532,0.07219772031628881
19,0.552977903059005,0.5923871844841888,0.09296471141695685
20,0.5451342607631675,0.59243920682488,0.09151567183098093
