Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,1.2871232426297605,4.771746422843701,0.6764416473312274,0.6886928605052939,0.15266582045303917,0.1528877545185995
2,0.8011807376123223,2.4437942638562324,0.5766819119101498,0.576051782801861,0.11432107875295185,0.12073723171493952
3,1.6718604238365997,2.1848791952521607,0.7242623667213617,0.5342340982802798,0.1690972866797186,0.11160693712940135
4,1.8749565675121107,2.523320245601766,0.7760046974693938,0.6001517164976163,0.1937244890284696,0.12120282233110438
5,1.6423426973546857,3.290812023797119,0.7283624682506199,0.7177299494307331,0.1823803403695781,0.14692769127597194
6,1.5752040240664271,1.5903537393939315,0.6890284322614566,0.4252377809007646,0.1602779795679661,0.09358193548065488
7,1.1492151610236674,3.115304576723665,0.6376072469129348,0.5669375545154466,0.14166502041993587,0.13643919999970686
8,1.1910830824921497,3.190037591544523,0.5992851907689712,0.6060022626992994,0.13984138833354784,0.1216013270390879
9,1.185672473454764,2.009084406435232,0.6073935454787932,0.6924995232146092,0.14310112857860355,0.13966131522572564
10,1.4753292135839824,1.6842231948691653,0.6864718534209008,0.5823723350669412,0.15941891847241024,0.11037812060548634
11,3.044952006289419,3.656165063422103,1.0818552720003072,0.5993990415521905,0.35123168333008825,0.13322669513926194
12,1.4165720078465212,1.9334928738650137,0.6590874831910232,0.5868774000678424,0.1565340882765229,0.12299162930185543
13,1.4244088118090656,3.1368111460987267,0.6975589696116591,0.6795631675493786,0.16459495926183515,0.13635265227674542
14,1.081789262781224,3.0905089268074644,0.6261740387498558,0.7282768409285674,0.14055903404005435,0.15148967391080917
15,1.4105683343062376,1.6320488717117927,0.6724746605267241,0.5323160064312596,0.15386324467200752,0.10426371831946683
16,1.8742726649167514,2.458863952910505,0.759825013549055,0.6373254774745131,0.188893011943782,0.12773219322265372
17,1.0779001633105825,1.6818682989116722,0.6748102996657703,0.4842834379475816,0.14913115512682282,0.11182213921363002
18,0.9589092369121176,1.7500355842800737,0.5762865777412052,0.48273141078989656,0.12496883374888447,0.09844197404792146
19,1.3059000322830723,4.296627466383153,0.6904997646952837,0.6033316678693498,0.1539165124563213,0.1491049335208951
20,1.918715827631376,2.3691821398435216,0.8397586436600104,0.584710863986696,0.22402373336392095,0.12644182823163672
