Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,1.1755490782736153,4.526544531452392,0.672593697507906,0.6588984029389174,0.14879052046323843,0.13406006964229888
2,1.6929122875047022,6.268714891567386,0.897247981201675,0.8154772024708125,0.23763178971405846,0.18765508672194114
3,2.084435678682502,5.94935643403653,0.8868314712667799,0.8344268050252813,0.23870371381078795,0.20123620111691506
4,2.102547665637185,8.273073793017497,0.8526866557565533,0.8711210543191243,0.21097254874536023,0.2202480243258626
5,2.8865398270350773,8.392403029764559,1.0434491148001726,0.9646141293683203,0.34713989539882323,0.23884178882946308
6,0.9431425348220682,4.827401581044036,0.5971016427112322,0.7303427605788796,0.13194947281179922,0.1610782395870599
7,1.3442335745998697,7.181245248132741,0.6172224421100599,0.8078029848342088,0.14539358419853066,0.17806978511824498
8,1.4709924572866515,5.498339929368679,0.6886975846240078,0.7410142152780395,0.16223085629189735,0.16054860407636853
9,1.192493722127596,6.048186861796782,0.5965772151906544,0.7591012734974456,0.14238093387734024,0.17876934611514145
10,0.8352940947730783,5.3036176218784785,0.5437717853119137,0.8332746190706153,0.11636486239456184,0.17408264284139277
11,1.0320408685371232,3.0089819603030272,0.5604163400659719,0.6155595455887031,0.12539933224769378,0.13691895460287531
12,1.0845931190639373,8.072444353927414,0.5655999998707363,0.9433062293069931,0.134731394248578,0.22693481597023976
13,3.4203986410099376,7.7538009506525984,1.1273553791319004,0.9210280688446695,0.3723689395420485,0.23498118443195437
14,1.1703963544504692,5.929357336299857,0.6469523833082209,0.7970804694347812,0.14916072140424108,0.16672282907506664
15,2.4640051450814533,7.599772819875896,0.9845025542583009,0.9309173490271919,0.30626021536156883,0.21452851369119522
16,1.2302859186637936,7.534350695254933,0.6409861942675364,0.8168122041775912,0.14686291113885921,0.19398137333798524
17,2.24471228133887,5.033663753014261,0.9729931243342531,0.77065722626982,0.2944354543746992,0.16571825604779128
18,0.7665366309964731,3.69436293947245,0.5644475522393051,0.6959465766365831,0.11382412115462993,0.1364222908084604
19,1.914041126335832,3.625558424611967,0.8254060021292975,0.645276984152032,0.20153691203266408,0.15265294655948264
20,1.3644825977135724,4.174978789713663,0.7425308545172307,0.595358005398161,0.17213150557380769,0.14693754994425923
