Iteration,KL_Model_allpath,HD_Model_allpath,JSD_Model_allpath
1,0.45253013146536303,0.537227985099432,0.08838659008633372
2,0.5344974775557177,0.5552960316851508,0.09875163722182825
3,0.5089566158060056,0.5520710252984621,0.09454644733988098
4,0.6198093761718613,0.6449986015766117,0.11074971563577325
5,0.5477312724670577,0.6001474430011746,0.09685352311750253
6,0.632075073145149,0.6403591954875266,0.11247388926467611
7,1.1525634475702258,0.7394102346313486,0.14806472947502136
8,0.5901966630277902,0.64454067653743,0.10848668953228949
9,0.5801337944435077,0.5904355640621275,0.10369142664571351
10,0.9557118863052143,0.6797963042360747,0.13407228171759808
11,0.5432085829228954,0.5889818166901193,0.09758278846772263
12,0.6230651161980584,0.6390154161153221,0.10991302296635262
13,0.6342551259333564,0.6399628725142756,0.1241852061008024
14,0.5134917213554988,0.5702200515872667,0.08972473888010808
15,1.006388786521105,0.6923241706913886,0.13621957029666323
16,0.6181562969624076,0.5975941187734061,0.10872091685880915
17,1.1498078802693634,0.759581306625919,0.15628905446988767
18,0.6626999919263716,0.6983893721018508,0.13000438947717013
19,0.9867453101520482,0.679559854190735,0.13192225025224852
20,0.5366260689895465,0.5918192743696512,0.09115973541003022
