Iteration,KL_Model_allpath,HD_Model_allpath,JSD_Model_allpath
1,8.772835253571971,3.5163013506772374,1.334644450689357
2,10.013962094510516,3.5656639663808583,1.339814751642375
3,10.182753481660562,3.554383839522919,1.3377475579357374
4,11.22486312728299,3.7118058956925277,1.4397716303067858
5,12.022647371632004,3.8934590276861956,1.5663494462352718
6,9.014255100429567,3.5103277119288996,1.3194797696403746
7,10.987200182345239,3.710502148413262,1.425675242433345
8,11.348153104610926,3.7308928585021612,1.4257833495898786
9,7.173118107862998,3.111393199342268,1.0662760254699641
10,8.369821498187083,3.2749032980311057,1.1821196538689542
11,9.385248290310603,3.5311220495089786,1.3277889512709158
12,9.203131868816337,3.544780802121008,1.3186997286286846
13,8.97262450486952,3.3347442631409465,1.2000683380734616
14,10.959983157679652,3.6506200069327392,1.408350191055481
15,8.02778311595143,3.3657884145659227,1.2337367773124335
16,9.208698601170974,3.2906087974903118,1.1807984451594378
17,8.71176500114762,3.3081819180444407,1.188123182491203
18,11.580202182722799,3.6979934775418926,1.4245483788978295
19,9.371571513412842,3.4339029434151027,1.268342834591003
20,9.99764566937948,3.5134249574208036,1.3049830907156825
