Iteration,KL_Model_allpath,HD_Model_allpath,JSD_Model_allpath
1,8.423070072449335,3.254737899451638,1.1642178743674754
2,9.933822936628426,3.5364053280183976,1.3167387848900503
3,8.962207207366609,3.339578365609631,1.2046454728325462
4,7.522754729947891,3.1261403753157553,1.0939446105128383
5,9.548065660605644,3.4700948097411604,1.2714770766353656
6,10.287039730701744,3.630492573660918,1.3684047119184004
7,7.8230990809770535,3.2528457038348173,1.1628100821311766
8,6.9401398342521805,3.0408058680924537,1.0443216502832111
9,8.826076260646538,3.291599377004887,1.182225006700961
10,8.484352729908776,3.3337176443353003,1.1988642112117023
11,9.9224918896948,3.6113951778304965,1.3696782610851088
12,9.1042853095725,3.2901760539108014,1.1834805849057006
13,9.630086649676585,3.444425523848374,1.2569741398388592
14,7.470803986449228,3.200696169955257,1.1322105108167524
15,9.522086136748092,3.5816069596539344,1.3402346972792607
16,8.819624961045074,3.3112414779963153,1.1863341393307771
17,8.847530698903263,3.2931457442327408,1.173561217859793
18,10.480793625713464,3.4984647772939463,1.2821302298534727
19,7.927193290308349,3.140264014655253,1.1089549148862972
20,7.7203284461645385,3.2440766194712864,1.1685685800309158
