Iteration,KL_Model,KL_Comparison_Model,HD_Model,HD_Comparison_Model,JSD_Model,JSD_Comparison_Model
1,6.102930758317749,36.21744934989774,2.8329954480881865,2.865349984867166,0.9493683442887284,0.9613389064301389
2,6.27974053023509,38.48677261150357,2.7439574570507874,3.037850711379483,0.90031428734505,1.008062923648716
3,4.898979163378366,39.0632380869631,2.4080498622602566,2.969405997669399,0.7300437799616714,1.0119988139225207
4,5.386658810008197,35.589866246798074,2.6823135488791383,2.90233944312815,0.8614104060446327,0.9385682225085425
5,4.64255870710181,35.03569048366987,2.2961222363191474,2.8183158723302855,0.69597031685762,0.9177390280115314
6,5.186921535022064,38.32918505810093,2.600480084587238,2.937747529991081,0.8621652818375023,0.9906188511555999
7,6.2333946643950675,34.82277559283598,2.757610828742701,2.8506745180025486,0.9007688247685746,0.9347362967877256
8,5.280010175017284,36.44603554978315,2.6960044576903086,2.9595758987611087,0.8777111759088515,0.9948414201377895
9,4.18105301856665,38.973884605736735,2.522598219730503,3.112339394948483,0.7563352354473749,1.031913968068284
10,6.849702185940959,35.31200862240968,2.9731268387825884,2.9366909710843987,1.0730315403615107,0.9645252271067509
11,5.55026924509432,40.929491271320856,2.655561980996151,3.1406972760660055,0.8535485647703577,1.0638591939123163
12,5.281673952392663,41.678487515506475,2.4651862315437865,3.140357333075615,0.7818510872425461,1.0691438032957896
13,4.969234691233238,35.79297610512307,2.337524587697751,2.7434090606806203,0.7150437027679984,0.911760852289505
14,7.868126900711502,37.06426410646636,3.1517347103461866,2.952460350939732,1.1526166850834014,0.9900807471993978
15,7.876048613869323,38.62145498454627,3.2026878392511264,2.992226913069496,1.2000142501284763,0.9824140457853795
16,6.007920881011459,39.31750140027385,2.8877745657818563,3.051461754322484,0.984941536539896,1.017162642423172
17,5.340623777012406,40.23065098500486,2.2912639336359466,2.9931064149256215,0.7351496502476037,0.9989160985551467
18,6.424407681975178,36.1036939545166,2.7039759172546303,2.889802770151305,0.8742910163254873,0.9409913261868577
19,6.614353690170717,33.70443421430046,2.8109646891195177,2.792743235472127,0.9626014135347546,0.8881442385618719
20,5.8651289499848325,37.659233411567726,2.6811020563050048,2.8798604848717058,0.8657283174126972,0.9554399263909382
