Iteration,KL_Model_allpath,HD_Model_allpath,JSD_Model_allpath
1,0.7622486833872592,0.7201286159749858,0.1355503678243951
2,1.148763331068783,0.7658872463827422,0.15737324649440482
3,1.049932791378293,0.7065087386660189,0.13805670335854123
4,1.1906723165832045,0.744469416929691,0.15209838674662987
5,1.3906491676399915,0.7800373185690097,0.16068353870713642
6,1.2320446914039227,0.7681262448541549,0.15902879377692292
7,1.0998503104602995,0.7214506349536806,0.14339934243257768
8,0.5015855817654533,0.5817538759086406,0.08950243991430469
9,0.48388805407945673,0.5421665857657612,0.09129189421843849
10,1.338912124965234,0.7712979854092061,0.15956539976555187
11,0.5811929062912613,0.6088909200601796,0.09622579347132859
12,0.4950057333451542,0.5848459911698156,0.08653629755173001
13,0.6923361358558134,0.6964638621537071,0.12818827910207062
14,0.6813391070361339,0.643582418664938,0.11370915866861225
15,0.5730705859722223,0.6239999408237746,0.0995460476582039
16,0.6819375114631218,0.6806338985702584,0.12115044602984759
17,1.1945550326488563,0.7476187479944284,0.14937436191033826
18,0.4337099834913533,0.5443928981867772,0.08114032894814348
19,1.1153450562876766,0.6978333397098248,0.13470240799998287
20,0.4905412192546977,0.5731090069952343,0.08642155654825773
